Column1,index,ID,Tweet,Timestamp,Likes,Retweets,Length,Date,Time,Class
1280,2010,1.49896E+18,بارك اله بلد وهنيءا لمواطنيه قيادة تهتم بمستقبل شبابها وشاباتها تقتصر جهودها فقط علا حثهم علا الحلم بمستقبل باهر فحسب تدخر وسعا لتذليل العقبات طريقهم وهم يحقون احلامهم ويزداد يقينهم بقدراتهم ليحقوا ذاتهم اكسبو  الامارات ,3/2/22 12:44,12,2,301,3/2/2022,9:44:33 AM,positive
1281,2012,1.49895E+18,بلغ اجمالي عد زيارات اكسبو   حتا     زيارة  اوصت لجنة تسير المعرض بتمديد العمل حتا ليلا وذلك لاتاحة المزيد لزوار لاستمتاع بالفعاليات واماكن الجذب ارجاء الموقع الشهر الاخير انعقاد الحدث الدولي  ,3/2/22 12:00,3,1,302,3/2/2022,9:00:02 AM,neutral
1282,2013,1.49893E+18,يراقب عد المرات غسلت يديك يستخدم جناح استراليا اكسبو دبي نظاما ذكيا لتوفير المياه ,3/2/22 10:45,15,0,155,3/2/2022,7:45:05 AM,neutral
1283,2014,1.4989E+18,تعرفوا علا ابرز فعاليات الـ  لـ اكسبو  دبي الاربعاء م اكسبو  ,3/2/22 8:46,18,22,149,3/2/2022,5:46:17 AM,neutral
1284,2015,1.49877E+18,تشوفون الصورة ثابتة متحركة        الامارات دعاية اعلانات اعلان اكسبلور سياحه سياحة سياحة سفر سفر سفريات جولات سياحية اجمل شتاء في العالم اكسبو ,3/2/22 0:11,1,0,280,3/1/2022,9:11:34 PM,neutral
1285,2018,1.49872E+18,الرحلة المذهلة دامت اشهر سافرنا دول العالم لاسف اوشكت علا الانتهاء شهر فقط ضاعفوا زياراتكم يذهبوا حتا تفوتوا لحظات الاندهاش      ,3/1/22 21:02,1,1,258,3/1/2022,6:02:28 PM,positive
1286,2020,1.49869E+18,جناح سلطنة عمان قصة يتبقا فصولها سوا اسابيع معدوة  ,3/1/22 19:16,3,1,122,3/1/2022,4:16:55 PM,neutral
1287,2021,1.49869E+18,اكسبو  دبي مزيجا ثقافيا منوعا لحضارات وتقاليد دول العالم المشاركة يمثل فرصة لزواره لتعرف علي معلومات ثرية ابرز الحرف التقليدية لمجتمعات المختلفة جناح الجزاءر    الفرصة لابراز حرفها التقليدية الراقية صناعة الذهب الاحمر غيره  اكسبو,3/1/22 19:15,0,0,301,3/1/2022,4:15:24 PM,positive
1288,2022,1.49869E+18,دبي كوكب اخر  ,3/1/22 19:11,0,0,47,3/1/2022,4:11:22 PM,positive
1289,2023,1.49869E+18,هنا الامارات   ناءب رءيس الدولة يكرم الفاءزين بجاءزة محمد راشد لاداء الحكومي المتميز الخميس اكسبو ,3/1/22 19:07,0,0,159,3/1/2022,4:07:45 PM,neutral
1290,2024,1.49868E+18,الامارات تطلق المرحلة التشغيلية الاولا لمدرسة الرقمية مصر الاردن العراق موريتانيا كولومبيا عراق    الاقتصاد,3/1/22 18:20,0,0,177,3/1/2022,3:20:00 PM,neutral
1291,2025,1.49868E+18,جناح السعودية اكسبو  دبي اكسبو  ,3/1/22 18:10,0,0,104,3/1/2022,3:10:43 PM,neutral
1292,2026,1.49867E+18,ساحه الوصل اكسبو  دبي اكسبو   ,3/1/22 17:49,0,0,102,3/1/2022,2:49:41 PM,neutral
1293,2027,1.49867E+18,بث مباشر ساحة الوصل اكسبو ,3/1/22 17:49,0,1,75,3/1/2022,2:49:11 PM,neutral
1294,2028,1.49867E+18,جناح السعودية  وزواره انحاء العالم    ,3/1/22 17:45,0,0,97,3/1/2022,2:45:00 PM,neutral
1295,2029,1.49867E+18,ساحه الوصل اكسبو  دبي اكسبو  ,3/1/22 17:42,4,0,99,3/1/2022,2:42:40 PM,neutral
1296,2030,1.49867E+18,وخذنا الجواز اليمتد اديشن  اكسبو  ,3/1/22 17:33,0,0,78,3/1/2022,2:33:47 PM,positive
1297,2031,1.49865E+18,بحب فلسطين والي بحب فلسطين        مقتطفات جناح فلسطين اكسبو دبي   ,3/1/22 16:21,9,0,130,3/1/2022,1:21:12 PM,positive
1298,2032,1.49864E+18,بهدف اتاحة المزيد لزوار لاستمتاع بالفعاليات اجنحة الدول المشاركة اكسبو  دبي تمد ساعات عملها شهر حتا الساعة ليلا بتوقيت دولة الامارات اكسبو   ,3/1/22 15:56,2,0,231,3/1/2022,12:56:58 PM,neutral
1299,2033,1.49864E+18,الحدث الدولي الاضخم عالميا يواصل اجتذاب المزيد الزوار زيارات اكسبو  دبي تلامس  انطلاقه وحتا اكسبو  ,3/1/22 15:53,12,27,205,3/1/2022,12:53:51 PM,neutral
1300,2034,1.49864E+18, لـ اكسبو  دبي بنهاية اكسبو   ,3/1/22 15:50,4,0,121,3/1/2022,12:50:31 PM,neutral
1301,2035,1.49864E+18,بهدف اتاحة المزيد لزوار لاستمتاع بالفعاليات اجنحة الدول المشاركة اكسبو  دبي تمد ساعات عملها شهر حتا الساعة ليلا بتوقيت دولة الامارات اكسبو  ,3/1/22 15:43,14,28,228,3/1/2022,12:43:51 PM,neutral
1302,2036,1.49862E+18,سجل علا الرابط  جناح المراة اكسبو  دبي بالتعاون كارتيه ,3/1/22 14:25,3,1,176,3/1/2022,11:25:10 AM,neutral
1303,2038,1.49861E+18,اظهر اكسبو  دبي الصومال كدوله بحاجة ماسه لانفتاح علا الاعمال  من سعيها لاستكشاف فرص جديدة انحاء العالم عن طريق الاستثمار الامثل لموارد الطبيعية والبشرية لجعلها كبرا عبر مسيرة التحول الاقتصادي المستدام وتحقيق الرخاء الاقتصادي ,3/1/22 14:00,0,0,303,3/1/2022,11:00:02 AM,positive
1304,2039,1.4986E+18,اكسبو  دبي نلاحظ فضول البشرية واضح وجلي  وتلمس شغف الانسان العلم والمعرفة  وسعيه الاكتشاف والتقدم والرقي الحضاري  ابلغ المشاهد ستعلق ذهن المتابع  التنوع البشري الهاءل الجمهور يحضر المعرض  ,3/1/22 13:00,0,0,295,3/1/2022,10:00:00 AM,positive
1305,2040,1.49859E+18, لـ اكسبو  دبي بنهاية اكسبو  ,3/1/22 12:05,2,2,121,3/1/2022,9:05:21 AM,neutral
1306,2041,1.49858E+18,اكسبو  دبي محطة هامة لذاكرة البشرية  جمعت مختلف دول العالم سقف واحد  ومنحت دولة فرصة تقديم ثقافتها ورءيتها لمستقبل  وايضا ارثها ومفهومها الحياة ساد ارجاءها  وبين مختلف اجيالها ,3/1/22 12:00,0,0,255,3/1/2022,9:00:02 AM,positive
1307,2042,1.49858E+18,ولنعطي النساء والفتيات انحاء العالم الشعور بانه يوجد شيء مستحيل سجل علا الرابط البايو جناح المراة اكسبو  دبي بالتعاون كارتيه ,3/1/22 11:46,4,2,235,3/1/2022,8:46:14 AM,neutral
1308,2043,1.49858E+18,الي سار ليوم استغل واكتشف اليديد والمزيد   ,3/1/22 11:35,0,1,102,3/1/2022,8:35:19 AM,neutral
1309,2044,1.49856E+18,اطلاق جواز ابيض ميز لزوار معرض اكسبو  دبي الحاصلين علا  ختم الاجنحة اكسبو  ,3/1/22 10:21,1,1,130,3/1/2022,7:21:42 AM,neutral
1310,2045,1.49856E+18,شونا ماكغي  فعالية نظمها معرض اكسبو  دبي اشهر بمعدل  فعالية يوميا اكسبو ,3/1/22 10:10,0,0,135,3/1/2022,7:10:18 AM,neutral
1311,2046,1.49856E+18,ناءب رءيس الاتصال اكسبو  دبي شونا ماكغي لجنة اكسبو قرت تمديد اوقات الزيارات لاجنحة اكسبو ,3/1/22 10:09,0,0,152,3/1/2022,7:09:19 AM,neutral
1312,2047,1.49856E+18,الاحاطة الاعلامية لـ اكسبو  دبي تسجيل   لمعرض الدولي  يوما اكسبو  ,3/1/22 10:08,0,0,137,3/1/2022,7:08:20 AM,neutral
1313,2048,1.49855E+18,اكسبودبي يسجل اعلا عد زيارات شهرية انطلاق الحدث باجمالي   نتصدر المشهد ,3/1/22 9:45,2,1,116,3/1/2022,6:45:20 AM,neutral
1314,2049,1.49855E+18,اكسبو دبي يكشف الاحاطة الاعلامية الصباحية ارتفاع عد الزيارات قرابة الـ لموقع الافتراضية تجاوز الـ نتصدر المشهد ,3/1/22 9:44,6,4,201,3/1/2022,6:44:28 AM,neutral
1315,2050,1.49855E+18,لعلم الاقتراح فكره تقريبا تقديمها الي اكسبو   شهر يتم الاخذ والان انا اتفاجا بتطبيقها  احد التحديات الاستطاعه بحصر الدول زيارتها فاضطرت تنزيل اسماء الدول قوقل وضع علامه دولة يتم زيارتها ,3/1/22 9:34,1,0,321,3/1/2022,6:34:37 AM,neutral
1316,2051,1.49854E+18,اعمدة ذكية قابلة لتكيف يمكنها الارتقاء بالمدن المستقبل   ,3/1/22 9:20,11,1,111,3/1/2022,6:20:06 AM,neutral
1317,2052,1.49853E+18,تعرفوا علا ابرز فعاليات الـ  لـ اكسبو  دبي  الثلاثاء م اكسبو  ,3/1/22 8:20,10,26,148,3/1/2022,5:20:48 AM,neutral
1318,2054,1.49838E+18,قاعة عرض دولة روسيا العقل البشري ,2/28/22 22:28,0,0,72,2/28/2022,7:28:21 PM,neutral
1319,2056,1.49833E+18,الصحوة حضور ميز لابناء محافظة البريمي الجناح العماني باكسبو  دبي  الجناح العماني  اكسبو ,2/28/22 19:07,9,1,186,2/28/2022,4:07:11 PM,neutral
1320,2057,1.49831E+18,ابرز عناوين نشرة اكسبو لهذا اكسبو دبي  ,2/28/22 17:34,0,0,91,2/28/2022,2:34:30 PM,neutral
1321,2059,1.49825E+18,اكسبو  دبي بمثابة فرصة لاطلاع الناس علا تملكه الصومال امكانات  تنادي السلام  وتزخر بالفرص  وتعز فرص العمل تستهدف فءة الشباب  جانب كونها موقعا لاستثمارات لكل العالم  ,2/28/22 14:00,0,0,261,2/28/2022,11:00:01 AM,positive
1322,2060,1.49825E+18,اخيرا سرت ,2/28/22 13:39,0,0,20,2/28/2022,10:39:43 AM,positive
1323,2061,1.49824E+18,زار معالي عبداله سلطان عواد النعيمي وزير العدل جناح ملكة بروناي دار اكسبو دبي  زار معاليه جناح دولة البوسنة والهرسك منطقة الفرص يحمل شعار حب الانسانية معرض اكسبو دبي ,2/28/22 13:18,6,0,255,2/28/2022,10:18:24 AM,neutral
1324,2062,1.49824E+18,رسالة انسانية وحضارية عمال اكسبو قلب الامارات اكسبو   ,2/28/22 13:15,8,4,117,2/28/2022,10:15:57 AM,neutral
1325,2063,1.49824E+18,جامعة الامارات تبحث التعاون البحثي جامعة بلجراد مجال تخزين الطاقة المكثفات فاءقة القدرة  ,2/28/22 13:09,0,0,176,2/28/2022,10:09:14 AM,neutral
1326,2064,1.49824E+18,مكافات بجواءز وهدايا قيمة انتظار زوار اكسبو  يشجع زواره علا اتباع السلوكيات الايجابية البرنامج الوطني لمكافات السلوكية  احدا مبادرات ادارة المكافات السلوكية وزارة مستحيل لدعم وتطبيق الاطار الاستراتيجي لمكافات السلوكية  ,2/28/22 13:00,0,0,299,2/28/2022,10:00:03 AM,neutral
1327,2065,1.49823E+18,اغاني عربية كلك نظر  ,2/28/22 12:33,0,0,68,2/28/2022,9:33:01 AM,positive
1328,2067,1.49822E+18,احتفل جناح الاستدامة تيرا اكسبو  بزاءره المليون انطلاق الحدث الدولي  وتعهد  زوار الجناح الاشهر الماضية بتغير سلوكياتهم حيال البيءة  وبانهم سيسعون لتطبيق الاستدامة حياتهم  الدروس والمعلومات اكتسبوها الجناح ,2/28/22 12:00,1,0,304,2/28/2022,9:00:00 AM,neutral
1329,2068,1.49822E+18,الهم اجعل البلد امنا مطمءنا وساءر بلاد المسلمين    دمتم فخرا وعزا جنود الوطن    حصن الاتحاد اكسبو   ,2/28/22 11:45,3,1,159,2/28/2022,8:45:45 AM,positive
1330,2070,1.49817E+18,تعرفوا علا ابرز فعاليات الـ  لـ اكسبو  دبي  الاثنين  م اكسبو   ,2/28/22 8:22,16,24,150,2/28/2022,5:22:07 AM,neutral
1331,2071,1.49816E+18,يصب ارتفاع متر شاي مليء بالرغوة ماليزيا شبيه بشاي الكرك الامارات  ,2/28/22 8:05,13,0,124,2/28/2022,5:05:02 AM,neutral
1332,2077,1.49799E+18,  جناح فيجي ,2/27/22 20:34,0,0,58,2/27/2022,5:34:13 PM,neutral
1333,2078,1.49799E+18,  الجناح الصيني,2/27/22 20:33,0,0,62,2/27/2022,5:33:12 PM,neutral
1334,2079,1.49799E+18,  جناح بيلاروسيا ,2/27/22 20:31,0,0,63,2/27/2022,5:31:23 PM,neutral
1335,2080,1.49797E+18,هنا الامارات   شرطة ابوظبي تنظم مختبر السبعين اكسبو دبي,2/27/22 19:36,3,1,121,2/27/2022,4:36:06 PM,neutral
1336,2083,1.49791E+18,تعرفوا علا قصة نجاح انوشة المرزوقي مديرة جناح عالم الفرص اكسبو  ومسيرتها العلمية والمهنية تفتخر اكسبو  دبي صباح الخير يا عرب اشترك وتابع الحلقات علا ,2/27/22 15:42,1,1,254,2/27/2022,12:42:16 PM,neutral
1337,2084,1.4979E+18,بتحس انك داخل كوكب بالسما مش عالارض عنجد اخر فخامة  دبي,2/27/22 14:41,2,0,94,2/27/2022,11:41:02 AM,positive
1338,2085,1.4979E+18,ليش الناس تمر جناح دولة الكويت  وتشوف تعويذة علامة تجارية تلعب عرضة ,2/27/22 14:40,12,4,105,2/27/2022,11:40:58 AM,negative
1339,2086,1.49789E+18,يركز جناح الصومال اكسبو  علا اكتشاف قطاعي السياحة والاستثمار والترويج مجموعة الشاشات تعرض مقاطع فيديو تفاعلية تصميمها لالهام الزاءر ليشهد تجربة رقمية لصومال بدءا الحضارة القديمة العصر الحديث  ,2/27/22 14:00,1,0,277,2/27/2022,11:00:02 AM,neutral
1340,2087,1.49787E+18,اكسبو  يعد منصة نموذجية لاحتفاء بالابداع والابتكار واكتشاف شراكات جديدة خلالها بناء ايجاد المزيد فرص التطور والرقي لشعوب المنطقة والعالم  لثراءه بالمحتوا المعرفي والثقافي والتقني بالغ التنوع يضمه المعرض جنباته  اجنحة الدول المشاركة  ,2/27/22 13:00,0,0,302,2/27/2022,10:00:02 AM,positive
1341,2088,1.49787E+18,ترقبوا اضخم العروض العسكرية لـ حصن الاتحاد جنوب اكسبو يومي   تمام الساعة   اكسبو  دبي  ,2/27/22 12:56,0,0,193,2/27/2022,9:56:18 AM,neutral
1342,2090,1.49786E+18,اخبارنا شرطة ابوظبي تنظم مختبر السبعين اكسبو دبي فزعه اكسبو دبي   اكسبو  اخبار شرطة ابوظبي,2/27/22 12:02,8,1,193,2/27/2022,9:02:43 AM,neutral
1343,2091,1.49786E+18,اكسبو  بدون كمامات  ضوء مءشرات مبشرة علا تراجع ملموس نسب الاصابة بوباء كورونا الامارات عموما  بفضل الوعي الصحي العالي لعموم افراد المجتمع  ونتيجة حتمية لسلسلة الاجراءات الاحترازية والوقاءية درجت علا تطبيقها الامارات طوال عامين  ,2/27/22 12:00,0,0,299,2/27/2022,9:00:00 AM,neutral
1344,2092,1.49786E+18,يستخدم جناح روسيا اكسبو دبي تقنية التعرف علا الوجه لتعزيز اجراءات كورونا  ,2/27/22 11:50,11,2,131,2/27/2022,8:50:07 AM,neutral
1345,2093,1.49786E+18,زياد برجي حفلته اكسبو دبي زياد برجي  دبي اكسبو الامارات,2/27/22 11:47,27,6,156,2/27/2022,8:47:09 AM,neutral
1346,2095,1.49782E+18,اوروغواي تجربة سياحية لاتينية مليءة بالرقص والسياحة والطعام مهران قاسم شاهندا اديب علا سما دبي اكسبو دبي ,2/27/22 9:14,0,1,160,2/27/2022,6:14:05 AM,neutral
1347,2097,1.49782E+18,جناح اوروغواي يعرض تفاصيل قصة منتخب احرز لقب كاس العالم  مهران قاسم شاهندا اديب علا سما دبي اكسبو دبي  ,2/27/22 9:07,0,1,167,2/27/2022,6:07:45 AM,neutral
1348,2099,1.49781E+18,تعرفوا علا ابرز فعاليات الـ  لـ اكسبو  دبي  الاحد  م اكسبو   ,2/27/22 8:57,14,29,148,2/27/2022,5:57:34 AM,neutral
1349,2106,1.49761E+18,زيارتي جناح اسبانيا    ملكه هولندا    ملكه المغرب    دوله تركيا      ,2/26/22 19:23,0,0,177,2/26/2022,4:23:32 PM,neutral
1350,2107,1.49761E+18,زيارتي لجناح جورجيا    ,2/26/22 19:17,0,0,95,2/26/2022,4:17:02 PM,neutral
1351,2108,1.4976E+18,الطرق تءدي الوصل دبي تجمع العالم اكسبو   ,2/26/22 18:55,0,1,101,2/26/2022,3:55:48 PM,positive
1352,2109,1.49759E+18,مشاركة ابناء محافظة البريمي جناح السلطنة المشارك بمعرض اكسبو  بامارة دبي بحضور سعادة محسن البلوشي المفوض العام لجناح السلطنة اكسبو  منتديات محافظة البريمي البريمي محضة السنينة,2/26/22 18:12,6,2,241,2/26/2022,3:12:51 PM,neutral
1353,2110,1.49759E+18,افضل اجنحه زرتها اكسبو الكويت   السعودية    الامارات    تونس    اليمن    ,2/26/22 17:52,0,0,90,2/26/2022,2:52:11 PM,positive
1354,2113,1.49754E+18,دخلتوا جناح الرءية نزلت دموعكم الوطنية والحب والفخر  انا مشاعري جياشه  ,2/26/22 15:04,0,0,95,2/26/2022,12:04:30 PM,positive
1355,2114,1.49754E+18,يظهر جناح الصومال منطقة الفرص بمعرض اكسبو  دبي الفرص المتوافرة مجالات كثيرة وحديثة  الاقتصاد الازرق والطاقة المتجدة وقطاع الضيافة والموارد السمكية والحيوانية والزراعة والبنية التحتية والصناعة ,2/26/22 15:00,0,0,266,2/26/2022,12:00:02 PM,neutral
1356,2115,1.49753E+18,اضاءة قبة الوصل اكسبو  دبي بالالوان الاربعة تميز الامراض النادرة اكسبو   رادار نيوز مراة الخبر,2/26/22 14:26,0,0,181,2/26/2022,11:26:46 AM,neutral
1357,2117,1.50054E+18, نموا بعلاقات العمل لقطاع الخاص الدولة بـ اكسبو هات بوست,3/6/22 21:51,0,0,106,3/6/2022,6:51:03 PM,neutral
1358,2118,1.50054E+18,مهلا اكسبو,3/6/22 21:40,0,0,38,3/6/2022,6:40:15 PM,positive
1359,2120,1.50052E+18,عرض حالم اكسبو ,3/6/22 20:30,4,0,39,3/6/2022,5:30:07 PM,positive
1360,2121,1.50048E+18, نموا بعلاقات العمل لقطاع الخاص الدولة بـ اكسبو,3/6/22 17:18,4,1,80,3/6/2022,2:18:42 PM,neutral
1361,2122,1.50045E+18,قواتنا بفضل اله جاهزة ومستعدة لتوجية اقسا الضربات المءلمة علا العدو الاماراتي سبق اطلقت القوات المسلحة تهديد بضرب معرض اكسبو الامارات غير امنة,3/6/22 15:52,1,1,153,3/6/2022,12:52:27 PM,negative
1362,2123,1.50042E+18,جناح السودان اكسبو  احدث تغيرات ايجابيه الاقتصادي السوداني اصبح نافذة التواصل شعوب العالم لمشاركة الثقافات الخبرات تحقيق التقدم ,3/6/22 13:46,1,0,176,3/6/2022,10:46:20 AM,neutral
1363,2124,1.50041E+18,دولة الامارات عقدت الاتفاقيات الاستثمارية اكسبو  جناح السودان تطوير الاستثمار السياحه بالسودان,3/6/22 12:39,1,0,138,3/6/2022,9:39:36 AM,neutral
1364,2125,1.5002E+18, كيلو اكسبو  سعرة حرارية وينك سامية اكسبو,3/5/22 23:21,0,0,91,3/5/2022,8:21:37 PM,neutral
1365,2126,1.50016E+18,المطاعم تلفت الانتباه اكسبو مطعم البيك طوابير تنتهي بصراحة قصة نجاح يسطرها دولة الامارات زحام شديد الفرع الرءيسي دبي مول والان فرع اكسبو يكمل قصة النجاح تبقا افتاح افرع اخرا عقبال براند اماراتي عالم جنك فود ,3/5/22 20:42,1,0,304,3/5/2022,5:42:44 PM,positive
1366,2128,1.50016E+18,زوار اكسبو الجمعة واليوم السبت اتوقع ويمكن الزحمة الي شفتها ,3/5/22 20:16,4,0,106,3/5/2022,5:16:38 PM,negative
1367,2129,1.50016E+18,شو زحمة اكسبو    شو      ,3/5/22 20:13,0,0,50,3/5/2022,5:13:03 PM,negative
1368,2131,1.50014E+18,محمد بن راشد اثناء حضوري تمرين حصن الاتحاد اكسبو دبي  تمرين يظهر القدرات القتالية لقواتنا المسلحة وقدرات التنسيق العالية بقية الوحدات العسكرية الخاصة وقواتنا الشرطية ثقتنا عالية وجاهزيتنا افضل حالاتها داءما,3/5/22 19:13,2,1,269,3/5/2022,4:13:49 PM,neutral
1369,2132,1.50012E+18,محمد بن راشد يشهد العرض العسكري حصن الاتحاد نفذته القوات المسلحة المنطقة الجنوبية لـ اكسبو  دبي رادار نيوز مراة الخبر ,3/5/22 17:36,0,0,164,3/5/2022,2:36:41 PM,neutral
1370,2133,1.50007E+18,ماجربت الزحليقة جناح لوكسمبورغ اكسبو احس اني اقدر اتخطا شي        ,3/5/22 14:43,1,0,100,3/5/2022,11:43:06 AM,positive
1371,2134,1.50006E+18,ميحد حمد يصدح بصوت الزمن الجميل اكسبو هات بوست ,3/5/22 14:05,2,0,89,3/5/2022,11:05:17 AM,positive
1372,2136,1.50005E+18,اله يسعدهم ويحفظ الامارات شعبا وحكومة    انسا زيارتي لهذا المعرض اكسبو العالمي,3/5/22 12:59,1,0,104,3/5/2022,9:59:35 AM,positive
1373,2137,1.50003E+18,صوت الاصالة ميحد حمد اكسبو ,3/5/22 11:51,4,1,56,3/5/2022,8:51:18 AM,positive
1374,2140,1.5E+18,اكبر تجمع ساحة الوصل بحضور ابناء البلد لامسية فنان الامارات ميحد حمد مشهد الفرح والسرور راءعا بالرغم اني احضر جميل اظهار مشاعر البهجة ايذاء تفاعل مجتمعي راءع نحمد اله علا نعمة الامن والامان والاستقرار    الامارات اكسبو دبي,3/5/22 9:36,5,4,278,3/5/2022,6:36:20 AM,positive
1375,2141,1.49999E+18,حفلة ميحد حمد اضافة جميلة اكسبو بكل تحويه الكلمة معنا لانه صوت الوطن نعتز بالتاكيد اصوات عديدة نفخر بالامارات جانبه يعد بوحمد الصوت الاماراتي الاصيل يختلف تحية لمنظمين علا الاختيار الفخم,3/5/22 8:53,43,12,257,3/5/2022,5:53:45 AM,positive
1376,2142,1.49998E+18,المدير لبرنامج المتطوعين اكسبو  سعيد الشقصي  ضيف حلقة بودكاست هنا اكسبو  يحدثنا البرنامج واهم الشركاء لانجاحه الية تدريب المتطوعين اكسبو البالغ عدهم  ,3/5/22 8:47,13,4,229,3/5/2022,5:47:18 AM,neutral
1377,2143,1.49985E+18,غانا تدعم السعودية لاستضافة معرض اكسبو الدولي  اكسبو الدولي السعودية تدعم غانا لاستضافة معرض ونقل قطان القاء تحيات خادم الحرمين الشريفين الملك سلمان عبدالعزيز ال سعود  وصاحب السمو الملكي الامير محمد سلمان عبدالعزيز ولي الع,3/4/22 23:56,0,0,301,3/4/2022,8:56:57 PM,neutral
1378,2144,1.49984E+18,شخبار حفلة ميحد حمد اكسبو,3/4/22 23:26,1,0,39,3/4/2022,8:26:16 PM,neutral
1379,2145,1.49984E+18,ميحد يدق العود قول حلوه امثاله وتستطرب لصوته خود ريوم البر يفاله شكرا فنان الامارات ميحد حمد    اكسبو دبي ,3/4/22 23:16,17,5,157,3/4/2022,8:16:57 PM,positive
1380,2146,1.49984E+18,ميحد حمد اكسبو ,3/4/22 23:04,1,0,39,3/4/2022,8:04:48 PM,positive
1381,2147,1.49983E+18,مره احسد ناس حضورهم حفلة ميحد حمد اكسبو,3/4/22 22:14,3,0,50,3/4/2022,7:14:46 PM,positive
1382,2148,1.49981E+18,بيان مكتب رءيس ساحل العاج يءكد دعمها استضافة السعودية اكسبو   اكسبو استضافة السعودية العاج بيان دعمها رءيس ساحل مكتب يءكد صدر بيان مكتب رءيس ساحل العاج اليوم  نقلته الصحف الايفوارية  استقبال رءيس الدولة  الحسن واتارا  مست ,3/4/22 21:14,0,0,301,3/4/2022,6:14:03 PM,neutral
1383,2149,1.49977E+18,شي دول مثلات راسها محتشم فمعرض اكسبو,3/4/22 18:29,1,0,42,3/4/2022,3:29:51 PM,negative
1384,2150,1.49973E+18,توقعات بارتفاع اعداد زوار اكسبو وقمتا الحكومات المعرفة الابرز  ,3/4/22 16:12,0,0,125,3/4/2022,1:12:40 PM,neutral
1385,2151,1.4997E+18,كوت ديفوار تدعم طلب الملكة استضافة معرض اكسبو الدولي   اكسبو استضافة الدولي الملكة تدعم ديفوار طلب كوت معرض استقبل الرءيس الحسن واتارا  رءيس جمهورية كوت ديفوار  اليوم  المستشار بالديوان الملكي احمد عبدالعزيز قطان  والوفد المرافق,3/4/22 13:41,1,0,301,3/4/2022,10:41:03 AM,neutral
1386,2152,1.4997E+18,الي بيسير حفله ميحد حمد اكسبو ياخذ مظله الوضع يطمن ,3/4/22 13:36,0,0,94,3/4/2022,10:36:55 AM,neutral
1387,2153,1.49968E+18,استقبلت شركة مياه وكهرباء الامارات الاسبوع وفد شركة اسراءيل لكهرباء  والمفوض العام لجناح دولة اسراءيل معرض اكسبو موقع محطة نور ابوظبي  اكبر محطة مستقلة لانتاج الطاقة الشمسية العالم  لاستعراض مكانة محطة نور ابوظبي كمشروع راءد علا مستوا العالم ,3/4/22 12:33,0,0,281,3/4/2022,9:33:33 AM,neutral
1388,2154,1.49965E+18,العالم كلها فاكسبو ميحد حمد اكسبو,3/4/22 10:19,3,0,43,3/4/2022,7:19:26 AM,positive
1389,2155,1.49964E+18,ينظم صندوق عالم افضل سلسلة الفعاليات رفيعة المستوا يومي    لاحتفال باسبوع المحيطات الجناح الفرنسي اكسبو  دبي علا مدا اليومين سيتم التركيز علا حماية الحياة البحرية والمحيطات والاقتصاد الازرق ,3/4/22 9:57,3,2,245,3/4/2022,6:57:47 AM,neutral
1390,2156,1.49962E+18,حسين الجسمي ات استضافة اكسبو الامارات  كاول بلد عربي واول دولة الشرق الاوسط تستضيف الحدث العالمي  استكمالا لمسيرة النجاحات المتعدة حقتها الدولة  التطور والازدهار والتقدم,3/4/22 8:34,1,1,249,3/4/2022,5:34:49 AM,neutral
1391,2157,1.49962E+18,حسين الجسمي المشاركة فعاليات اكسبو اعتبرها واجبا وطني والجمهور مختلف جنسيات العالم  كوني جزءا الوطن نكن ولقيادته الحكيمة الولاء والانتماء  فقد تمكنت الامارات برءية وتوجيهات قيادتنا الرشيدة  تحقيق انجازات تاريخية شتا المجالات,3/4/22 8:34,3,1,304,3/4/2022,5:34:47 AM,neutral
1392,2158,1.49962E+18,اختياره سفيرا لـ اكسبو ومشاركته حفل افتاح الحدث العالمي  يتجد القاء الجاري عبر مسرح منصة الوصل ليقدم حسين الجسمي لعالم باقة اشهر اغنياته ومنها دق القلب حتة قلبي بالبنط العريض,3/4/22 8:34,1,0,252,3/4/2022,5:34:43 AM,neutral
1393,2159,1.49962E+18,الي بيحضرون حفلة ميحد حمد اكسبو رجاء صورولنا فيديوهات جميله واضحه ,3/4/22 8:21,14,7,97,3/4/2022,5:21:21 AM,neutral
1394,2160,1.49949E+18,سيدي سمو الشيخ محمد بن راشد يرافقه سيدي سمو الشيخ حمدان بن محمد سيدي سمو الشيخ مكتوم بن محمد بزيارتهم جناح الجمهورية العربية السورية المقام منطقة التنقل اكسبو  دبي ويحمل شعار معا المستقبل لنا ,3/3/22 23:49,0,0,252,3/3/2022,8:49:00 PM,neutral
1395,2161,1.49947E+18,طبعا المعرض الدول ابدعت بتصميم الجناح الخاص بعضهم قدم فعاليات ميزة التغريدات القادمة اعرض افضل الاقسام الي زرتها وانصح اكسبو,3/3/22 22:49,0,0,187,3/3/2022,7:49:41 PM,positive
1396,2162,1.49946E+18,قليل شاشة جناح الكويت اكسبو خربانة ,3/3/22 22:20,1,0,71,3/3/2022,7:20:54 PM,negative
1397,2163,1.49944E+18,الشيخ محمد راشد ال مكتوم يزور الجناح السوري اكسبو دبي,3/3/22 20:39,2,0,88,3/3/2022,5:39:20 PM,neutral
1398,2164,1.49941E+18,وين نحصل تذاكر حسين الجسمي  اكسبو بليز هيلب,3/3/22 18:46,1,0,48,3/3/2022,3:46:52 PM,neutral
